event_name,qmeter_name,start_line,end_line,direction,start_polarization,end_polarization,swing,max_polarization,monotonicity_fraction,accepted
2005-07-26_16h04m57s,Top Proton,745,793,1,-20.19928,18.11387,38.31315,-20.19928,1.0,N
2005-07-26_16h04m57s,Top Proton,793,815,-1,18.11387,0.1459979,-17.967872099999997,18.11387,0.9090909090909091,N
2005-07-26_16h04m57s,Top Proton,815,947,1,0.1459979,23.53691,23.390912099999998,23.53691,0.9326923076923077,N
2005-07-26_16h04m57s,Top Proton,1520,1663,1,0.8447327,13.3468,12.5020673,13.3468,0.9014084507042254,N
2005-07-26_16h04m57s,Top Proton,1663,1790,-1,13.3468,-5.790718,-19.137518,13.3468,0.8346456692913385,N
2005-08-01_10h43m51s,Top Proton,1493,1606,-1,-0.541145,-17.52432,-16.983175,-17.52432,1.0,N
2005-08-01_10h43m51s,Top Proton,1606,1611,1,-17.52432,-0.1367945,17.3875255,-17.52432,1.0,N
2005-08-01_10h43m51s,Top Proton,1611,1817,-1,-0.1367945,-18.34148,-18.2046855,-18.34148,0.9570552147239264,N
2005-08-01_10h43m51s,Top Proton,1817,1988,1,-18.34148,21.47597,39.81745,21.47597,1.0,N
2005-08-08_18h34m37s,Top Proton,1649,1773,-1,-4.757726,-67.19261,-62.434884000000004,-67.19261,0.8467741935483871,N
2005-08-08_18h34m37s,Top Proton,1773,1956,1,-67.19261,51.82957,119.02217999999999,-67.19261,0.9016393442622951,N
2005-08-08_18h34m37s,Top Proton,1956,3182,-1,51.82957,7.201746,-44.627824,51.82957,0.6666666666666666,N
2005-08-08_18h34m37s,Top Proton,3182,3457,1,7.201746,80.32174,73.119994,80.32174,0.8872727272727273,N
2005-08-08_18h34m37s,Top Proton,3457,3930,-1,80.32174,-71.53284,-151.85458,80.32174,0.8816067653276956,N
2005-08-08_18h34m37s,Top Proton,3930,6233,1,-71.53284,68.4997,140.03253999999998,-71.53284,0.9705882352941176,N
2005-08-08_18h34m37s,Top Proton,6233,6330,-1,68.4997,-74.84351,-143.34321,-74.84351,0.9484536082474226,N
2005-08-08_18h34m37s,Top Proton,10003,10091,-1,-12.08933,-76.72773,-64.63839999999999,-76.72773,0.8295454545454546,N
2005-08-08_18h34m37s,Top Proton,10091,10169,1,-76.72773,71.30392,148.03165,-76.72773,0.8260869565217391,N
2005-12-06_09h14m26s,Top Proton,876,1105,1,4.9074,72.16561,67.25821,72.16561,0.9694323144104804,N
2005-12-06_09h14m26s,Top Proton,2942,3326,1,0.2818548,65.25481,64.9729552,65.25481,0.7890625,N
2005-12-06_09h14m26s,Top Proton,3326,3354,-1,65.25481,0.06836034,-65.18644966000001,65.25481,0.6071428571428571,N
2005-12-13_14h41m49s,Top Proton,1206,1353,1,0.152785,35.1671,35.014314999999996,35.1671,0.6527777777777778,N
2005-12-19_18h13m32s,Top Proton,1257,1470,1,-0.2154904,94.65122,94.86671039999999,94.65122,0.6476190476190476,N
2005-12-19_18h13m32s,Top Proton,1527,1911,1,25.01329,60.99588,35.98259,60.99588,0.728448275862069,N
2005-12-19_18h13m32s,Top Proton,1911,2128,-1,60.99588,-63.35965,-124.35553,-63.35965,0.8372093023255814,N
2005-12-19_18h13m32s,Top Proton,2128,2694,1,-63.35965,88.63542,151.99507,88.63542,0.7481884057971014,N
2005-12-19_18h13m32s,Top Proton,2694,6160,-1,88.63542,0.004949314,-88.630470686,88.63542,0.5622710622710623,N
2007-07-12_10h11m05s,Top Proton,342,407,1,0.2192856,59.02599,58.8067044,59.02599,0.9016393442622951,N
2007-07-12_10h11m05s,Top Proton,416,477,1,52.77529,64.60689,11.831600000000009,64.60689,0.9137931034482759,N
2007-07-12_10h11m05s,Top Proton,1695,1829,1,11.28444,68.06244,56.77799999999999,68.06244,0.9117647058823529,N
2007-07-12_10h11m05s,Top Proton,1829,1924,-1,68.06244,-48.57116,-116.6336,68.06244,0.896551724137931,N
2007-07-12_10h11m05s,Top Proton,1927,1970,-1,-40.61229,-61.8591,-21.246809999999996,-61.8591,1.0,N
2007-07-12_10h11m05s,Top Proton,1973,2294,-1,-1.175431,-61.33105,-60.155618999999994,-61.33105,0.9851851851851852,N
2007-07-12_10h11m05s,Top Proton,2294,2300,1,-61.33105,-0.04745716,61.28359284,-61.33105,0.8333333333333334,N
2007-07-12_10h11m05s,Top Proton,2300,2317,-1,-0.04745716,-62.62406,-62.57660284,-62.62406,0.8823529411764706,N
2007-07-12_10h11m05s,Top Proton,2319,2341,-1,-33.354,-63.44989,-30.095890000000004,-63.44989,0.6818181818181818,N
2007-07-12_10h11m05s,Top Proton,2341,3447,1,-63.44989,66.36521,129.8151,66.36521,0.8910256410256411,N
